"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Kettle,Cookworks,"Doesn't work",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
Lamp,,"Stopped working",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Lamp,,"Missing part",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Small kitchen item",,"Juicer, won't turn on",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Toaster,Dualit,"Short circuit, blowing fuses. New plug fitted.",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Vacuum,Hoover,"Burning smell",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Laptop small",Acer,"Won't turn on. Removed and replaced battery and booted ok,",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Printer/scanner,Epson,"Doesn't print","End of life",No,"Redmond Centre","Hackney Fixers",2016-01-23
"TV and gaming-related accessories",Bluesky,"DVD Player","End of life",No,"Redmond Centre","Hackney Fixers",2016-01-23
"Hair & Beauty item",Carmen,"Hairdryer, won't turn on",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Lamp,IKEA,"Won't turn on",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Power tool",Fellowes,"Laminator, not feeding. Motor jammed","End of life",No,"Redmond Centre","Hackney Fixers",2016-01-23
"Small kitchen item",Kenwood,"Food processor, funny smell from motor.",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Small kitchen item",Hinari,"Juicer, loose connection",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Small kitchen item",Hinari,"Juicer, broken top",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Laptop medium",HP,"Software virus, also affecting USB port",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Laptop medium",Apple,"Doesn't switch con",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
"PC Accessory",Apple,"Laptop charger cable snapped. Resoldered",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Mobile,Fairphone,"Part of the screen is broken",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Hi-Fi separates",,"Loose connection on HiFi speakers. Renovated",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"Portable radio",Roberts,"Screen backlight not working",Repairable,No,"Redmond Centre","Hackney Fixers",2016-01-23
Lamp,IKEA,"LED lamp, frayed connection, soldered and Sugrued",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
Lamp,,"Broken internal connection reconnected plus Sugru",Fixed,No,"Redmond Centre","Hackney Fixers",2016-01-23
"PC Accessory",,"Computer speakers, one not working. Fixed broken jack lead",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",,"Plug / charger connection loose",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Laptop medium",Acer,"Smashed screen, software problem improved.",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Handheld entertainment device",Apple,"Apps issue / home button",Repairable,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Handheld entertainment device",Zoon,"Just cleaned it",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
Headphones,,"Sugru used to secure the cable/connection",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
Mobile,Apple,"Battery replacement",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
Mobile,Apple,"Sim reader faulty, tried to resolder it.",Repairable,No,"Abbey Community Centre","Restart HQ",2016-01-25
Mobile,Apple,"Not charging, battery replaced",Repairable,No,"Abbey Community Centre","Restart HQ",2016-01-25
Mobile,,"Storage full, advice given, owner to finish the job",Repairable,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Flat screen 26-30""",Bush,"Stuck in Arabic",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Hi-Fi integrated",Panasonic,"CD player dead","End of life",No,"Abbey Community Centre","Restart HQ",2016-01-25
"Hi-Fi integrated",,,"End of life",No,"Abbey Community Centre","Restart HQ",2016-01-25
"Hi-Fi separates",Marantz,"CD player door not working. Needs a replacement tray gear, part ID'ed",Repairable,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Decorative or safety lights",,"Bike lights, cleaned. Better but not perfect",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Hair & Beauty item",,"Hairdryer switch loose - had to break it to open it","End of life",No,"Abbey Community Centre","Restart HQ",2016-01-25
Lamp,,"Missing a plug; fitted one",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Small kitchen item",,Blender,"End of life",No,"Abbey Community Centre","Restart HQ",2016-01-25
Vacuum,,"Not sucking well",Fixed,No,"Abbey Community Centre","Restart HQ",2016-01-25
"Laptop medium",Toshiba,Virus,Repairable,No,"Leicester Hackspace","Leicester Fixers",2016-01-23
"Handheld entertainment device",Apple,Ipod,Repairable,No,"Leicester Hackspace","Leicester Fixers",2016-01-23
"Small kitchen item",Nespresso,"Coffee Machine - did not heat up water and leaked. it was seen that the water did not affect any of the internal part. they decided that it worth heating a bit the water before putting it the machine",Fixed,No,"Leicester Hackspace","Leicester Fixers",2016-01-23
Toy,,,Repairable,No,"Leicester Hackspace","Leicester Fixers",2016-01-23
"Laptop medium",,"Inverter cable replaced",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",Toshiba,"Linux install",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",Dell,"Screen replacement, owner brought spare part",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",Acer,"Running slow - improved",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",Apple,"Noisy - improved",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",,"Linux install",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Paper shredder",,"Never worked. Oiled and works",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"PC Accessory",,"Charger - wire damaged",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Printer/scanner,Samsung,"Were able to get a green light at the event, but owner told us it was not fixed",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Digital Compact Camera",Nikon,"LCD damaged - replacement ordered",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Handheld entertainment device",Apple,"Needed a replacement screen",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Handheld entertainment device",Nintendo,"Top screen flickering","End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Headphones,Beats,,Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Mobile,Motorola,"SIM card loose",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Mobile,Apple,"Needed back-up before repair",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Hi-Fi separates",,"Amp - one channel gone",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Hi-Fi separates",,"Turntable needing new belt",Repairable,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Hi-Fi separates",,"Turntable cartridge needed rewiring",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Lamp,,"Switch fixed",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Power tool",Bosch,"Advanced and cleaned motor",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Small kitchen item",,"Hand blender - switch broken","End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Toaster,Breville,"One element gone - no spare parts available",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Toaster,,"Tripping the electrics - too hard","End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Toaster,Maybaum,"Space-age toaster","End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Toaster,,,"End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Vacuum,,"Switch needs fixing - work around found.",Fixed,No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
Vacuum,Hoover,"Motor gone","End of life",No,"Holy Trinity Church, Tulse Hill","Restart HQ",2015-11-28
"Laptop medium",HP,"Windows won't boot. Hard drive needed replacing, the rest of the machine is ok",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
"PC Accessory",,"Mouse with a loose cable. Owner to buy another",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
Printer/scanner,Canon,"Paper jam",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
Headphones,Sony,"One channel gone.",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
Mobile,Fairphone,"Micro USB port dodgy",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
Mobile,Apple,"Incomplete update. Owner wanted to backup before reset.",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
Tablet,Apple,"Screen flickered and died after a drop. Couldn't heat the screen to remove it.",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
Aircon/Dehumidifier,B&Q,"Getting power but not dehumidifying. PCB faulty. Part ID'ed",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Small kitchen item",,"Hand blender cable was damaged",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Laptop medium",HP,"Blue screen - bought at Argos",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Laptop medium",Acer,"Slow - ""broken"" DVD drive",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Laptop medium",Lenovo,"Slow, running Windows 10 - improved",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Handheld entertainment device",,"Speaker rucksack - problems with the power supply",Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
"Handheld entertainment device",Apple,"Would not power on. Came to life when plugged into an Apple computer.",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
Mobile,Samsung,,Repairable,No,"Brixton Pound Store","Restart HQ",2016-01-11
Mobile,Samsung,"Micro USB damaged, needed replacing. DIY",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
Lamp,,"Doesn't work, fuse ok. Midas Touch",Fixed,No,"Brixton Pound Store","Restart HQ",2016-01-11
Vacuum,,"Motor gone","End of life",No,"Brixton Pound Store","Restart HQ",2016-01-11
"Laptop medium",Apple,"internet card?",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Laptop medium",Apple,"Suspected dead. Was dead.","End of life",No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Laptop medium",Apple,"Wonky screen",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Laptop medium",HP,"Running slow",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Laptop small",HP,Notebook-Overheating,Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"PC Accessory",,"Mouse - cable was broken",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Headphones,,"One channel not working.",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Mobile,Samsung,"Bad micro USB port",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Mobile,Nokia,"Not charging",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Mobile,Sony,Screen,Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Mobile,Apple,"Advised on purchasing part",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Tablet,Amazon,"Just needs a new battery",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Tablet,Kobo,"eReader Deleting files - just disabled sync",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Tablet,Apple,"Not charging",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Tablet,Amazon,"Not charging - advised to contact manufacturer",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Hi-Fi separates",,"Amp appears to have been used with the wrong power supply","End of life",No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Portable radio",,"DAB radio ""frozen""",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Power tool",,"Battery would not charge in this drill",Fixed,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Misc,,"A lined phone with no sound","End of life",No,"Kentish Town Community Centre","Restart HQ",2015-12-15
Misc,,"Steam mop - needed spare parts",Repairable,No,"Kentish Town Community Centre","Restart HQ",2015-12-15
"Laptop small",ASUS,netbook,Fixed,No,"leicester hackspace","Leicester Fixers",2015-07-18
"Handheld entertainment device",,headphones,Fixed,No,"leicester hackspace","Leicester Fixers",2015-07-18
"Hi-Fi separates",,"hi fi amplifier",Fixed,No,"leicester hackspace","Leicester Fixers",2015-07-18
"Portable radio",Bush,,Fixed,No,"leicester hackspace","Leicester Fixers",2015-07-18
Toy,,"loose wire",Fixed,No,"leicester hackspace","Leicester Fixers",2015-07-18
"Hi-Fi separates",,amplifier,Fixed,No,"leicester hackspace","Leicester Fixers",2015-05-16
"Portable radio",Schneider,"the speaker crackling noise",Repairable,No,"leicester hackspace","Leicester Fixers",2015-05-16
"Portable radio",Pure,,Repairable,No,"leicester hackspace","Leicester Fixers",2015-05-16
"Decorative or safety lights",,"switching not working - residual moisture - key ring torch",Fixed,No,"leicester hackspace","Leicester Fixers",2015-05-16
"Small kitchen item",Krups,"coffee machine - button contact",Fixed,No,"leicester hackspace","Leicester Fixers",2015-05-16
"Small kitchen item",,"hand held blender - burning smell",Fixed,No,"leicester hackspace","Leicester Fixers",2015-05-16
Printer/scanner,HP,"extraction of ink from cartridge",Fixed,No,"leicester hackspace","Leicester Fixers",2015-09-26
"Digital Compact Camera",Nikon,"cannot charged",Repairable,No,"leicester hackspace","Leicester Fixers",2015-09-26
"Portable radio",Roberts,"radio does not work dodgy contact",Fixed,No,"leicester hackspace","Leicester Fixers",2015-09-26
"Portable radio",,"speaker burnt ou - need to be charged",Repairable,No,"leicester hackspace","Leicester Fixers",2015-09-26
Misc,,"fan heater - motors burnt out",Fixed,No,"leicester hackspace","Leicester Fixers",2015-09-26
Tablet,,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Hi-Fi integrated",,,Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Portable radio",,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Decorative or safety lights",,,Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Small kitchen item",,"halogen oven",Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Toy,,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Laptop small",,netbook,Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Paper shredder",,,Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"DLSR / Video Camera",,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Handheld entertainment device",,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Mobile,,,"End of life",No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Hi-Fi integrated",,,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"TV and gaming-related accessories",,"dvd player - door not opening",Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Decorative or safety lights",,,"End of life",No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Small kitchen item",,Blender,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
"Small kitchen item",,"sandwich toaster",Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Toy,,"8m extension wheel train",Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Misc,,,"End of life",No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Misc,,"mobile phone charger - wire came loose",Fixed,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Misc,,clock,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Misc,,clock,Repairable,No,"Friends Meeting House, Leicester","Leicester Fixers",2015-10-31
Tablet,Amazon,"Kindle - the spare part were still missing",Repairable,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
Tablet,Samsung,"Not charging",Fixed,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
Tablet,Samsung,"Not turning on",Repairable,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
"Hi-Fi separates",Philips,"The door was not opening",Fixed,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
"Decorative or safety lights",,"Headlamp - second visit to a repair event with the headlamp. the first time, the participant did not screw back properly the screwdriver which created a wrong contact to the battery",Fixed,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
"Decorative or safety lights",,"little solar torch lamp keyring",Repairable,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
Misc,"British Gas","Electric Monitor - as they changed the battery for the device, it was not paired properly. the steps were reviewed to get the device to work again",Fixed,No,"Leicester Hackspace","Leicester Fixers",2015-12-12
"Laptop large",Dell,"dirty inside, overheating",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",Apple,"battery problems. turns out it's 5 years old, still OK for the age, taught how to reduce battery usage and check performance",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",Lenovo,"overheats and shuts down. good clean up",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",ASUS,"audio jack not working",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",HP,"doesn't boot. successfully helped to recover data, now needs to reformat hd at home",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",ASUS,"battery problem. checked the capacity of the battery, provided help to get a new one",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",Acer,"powers off when moving it. couldn't find the reason, participant says he ""learned a whole lot about repairing laptops"" as he took it completely apart",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop medium",Acer,"power jack not working, fixed",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Handheld entertainment device",Apple,"ipod features don't work, radio still does. we recommended to keep it as is, almost impossible to fix without breaking it further",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Huawei,"slow, restarts - helped to reset",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Samsung,"shuts down. reset to factory settings",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Nokia,"power button not working. fixed with workaround (taking out button, now can be switched on again)",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Fairphone,"cracked screen. brought spare part and learned to do it",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Apple,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Apple,"battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Samsung,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Google,"screen stopped working. it has previously repaired by Lovefone, explained he should go back as covered by their warranty",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop large",Samsung,"migrate to SSD. problems cloning hd",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
"Laptop small",Lenovo,"Notebook running slow",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Handheld entertainment device",Apple,"not charging. charger was broken",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
Mobile,Apple,"defective power button. elegible for Apple recall",Repairable,No,"Imperial College London","Sponsored events",2015-12-01
Headphones,"Audio Technica","resolder audio jack",Fixed,No,"Imperial College London","Sponsored events",2015-12-01
"Hi-Fi separates",,"Cassette deck. Doesn't work",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",Bosch,"Iron (needs category). Tested and working.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Iron (needs category) doesn't work.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Coffee maker. Doesn't turn on.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Compaq,"Power, but screen is blank.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Apple,"Screen wobbly",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"PC Accessory",,"Hard drive. Need to recover files.","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Digital Compact Camera",FUJIFILM,"Glitches on screen (menus display ok). Sensor or processor fault? May be in warranty. Advice given.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Tablet,,"Screen cracked, touch screen not working. Showed can use with USB mouse.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Hi-Fi separates",,"CD player. Won't play CDs",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Lamp,,"Not working",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Toaster,,"Trips the circuit breaker at home. Tested and working. Suspect overloaded home circuit.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Vacuum,,"Fuse blows, Needs new motor.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Misc,,"Digital clock. Stopped wokring","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Misc,,"Iron (needs category). Dropped,leaking, no steam. Opened and reclosed. Working as dry iron.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Dell,"Not turning on.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"PC Accessory",,"Speakers for laptop. Fuzzy sound.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Printer/scanner,Canon,"Fuzzy printing",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Digital Compact Camera",Leica,"Broken button, joystick control. Chip broken from motherboard, parts not obtainable.","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Headphones,,"Not working",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Portable radio",,"DAB radio. No sound, won't tune","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Portable radio",,"12 Valve radio. Rough reception. Dust removal. Working fine.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Iron (needs category). Short circuit. Changed fuse, still not working.","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Water heater. Light not coming on.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Sony,"Running slow. Advice given.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Toshiba,"Only works on mains. needs new battery.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Printer/scanner,,"No power. Needs parts",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Flat screen 26-30""",Celcus,"Mini TV. Won't turn on.","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Hi-Fi integrated",,"Record CD player. Tape doesn't go round, CD player jumps.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Portable radio",,"Digital radio. Only one channel works",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"TV and gaming-related accessories",Panasonic,"DVD player, won't turn on",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"TV and gaming-related accessories",,"VHS player",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Power tool","Black & Decker","Orbital sander. Motor works but not vibrating. Opened and checked, working ok.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",Kenwood,"Food processor (needs category). Not turning on - puff of smoke. opened and cleaned. Tested and working.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",HP,"Running slow",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Apple,"Very slow. Good tips!",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Portable radio",,"DAB radio. Tuner not always working.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Lamp,,"Needs help assembling it with new bulb holder",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Juicer. Not working","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Food processor. Not working. can't open","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Toaster,,"Blowing home circuit breaker. Tested and working ok. Suspect overloaded home circuit (common problem)",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Toy,,"Not working",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Misc,,"Electric blanket. Coil broken","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"PC Accessory",,"Hard drive. Connection broken. Needs adapter.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Tablet,,"Advice needed.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Hi-Fi separates",,"Car amplifier. No sound. Needs soldering",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Decorative or safety lights",,"Torch. Can't open.","End of life",No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Kettle,,"Can't open fuse",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Lamp,,"Mechanical problem",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Lamp,,"Needs soldering.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Lamp,,"Not working.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Small kitchen item",,"Iron (needs category). Not working.",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Vacuum,Henry,"Dies after starting",Fixed,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
Misc,,"Digital clock. Needs resoldering and superglueing,.",Repairable,No,"St Mark's Dalston","Hackney Fixers",2015-11-21
"Laptop medium",Lenovo,"Slow. Needs more time, advice given.",Repairable,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",IBM,"No charger. Charger sourced and ordered.",Fixed,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",Acer,"Speakers and microphone not working. Bent headphone socket fixed, now working.",Fixed,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",,"Not connecting to WiFi. Needs SCIP driver.",Repairable,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",HP,"Can't log on.",Fixed,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",,"Locked, virus? Fixed but needs more work.",Fixed,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",HP,Slow,Fixed,No,"Grazebrook School","Hackney Fixers",2015-09-26
"Laptop medium",HP,"Software/internet issue",Repairable,No,"Grazebrook School","Hackney Fixers",2015-09-26
