"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Mobile,Apple,"Cracked screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
"Laptop medium",Apple,"SSD not detected, not booting up. Gassing battery removed",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
"Laptop medium",Apple,"No issue during diagnosis",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
"Laptop large",HP,"White strips on display, some buttons unresponsive, windows recovery error","End of life",No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop large",Apple,"Hinge slightly damaged",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Cracked back cover and camera lens",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"iTunes won't detect",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Tablet,,"Screen displaying strips",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Huawei,"Cracked screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,LG,"Cracked screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop large",ASUS,"SSD cannot be detected",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Tablet,Samsung,"Flickering screen; no visible damage. Microsoldering diagnosis needed.",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Cracked screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop medium",Apple,"Potential short in board; suspected damaged resistor in the PPBUS_G3H line. Needs replacement of resistor R7080; maybe other resistors damaged",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop medium",Apple,"Battery reaching end-of-life",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Xiaomi,"Water damage. Requires microsoldering.",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Digitiser unresponsive; ghost touch",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Xiaomi,"Water damage. Requires microsoldering.",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Tablet,,"Tablet will not boot","End of life",No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Tablet,Samsung,"Battery drains too quickly; device shuts down at 20% battery life. Battery replacement needed",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop medium",Apple,"Cracked screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Cracked digitiser; LCD ok",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Broken camera lens",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop medium",Apple,"White and coloured strips shown in the display with some dark spots; seems like the screen received excessive physical stress, damaging the LCD",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop large",,"Boots but the LCD does not display anything. Microsoldering required.",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
"Laptop medium",Apple,"SSD not detected; not booting up. Gassing battery. Ordered parts, will come back next party.",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-03
Mobile,Apple,"Screen cracked.  Replacement screen fitted.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Lamp,,"Wire burnt out, used too high wattage bulb.  Rewired the lamp holder.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Lamp,,"Dimmer switch not working.  Shown how to bypass the switch.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Hi-Fi integrated",,"Amplifier not working.  Got good advic and will be able to finish fixing.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Flat screen 26-30""",,"TV/DVD not working.  Advice given on cleaning the DVD player.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Headphones,,"Cable broken.  Needs to solder on a new jack.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Lamp,,"Not working.  Checked and will try new bulb.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Flat screen 32-37""",,"TV no power.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Portable radio",Roberts,"Unreliable.  Tried cleaning tuner, but needs more time.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Handheld entertainment device",,"USB port broken.  Spare part ordered, will bring to next session.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Toaster,,"Not working.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Misc,Philips,"Not working.  Break inside cable, unsuccessful at repair.","End of life",No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Misc,,"Not closing, needs new battery.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Toy,,"Sound and laser broken.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Headphones,,"Clip has snapped.  Half fixed, knows what to do.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
